,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@chazman @lexfridman Fasting rocks,1559,107,2022-10-25 13:54:37+00:00
1,elonmusk,@VitalikButerin @balajis @zengjiajun_eth Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,5717,330,2022-10-25 13:24:27+00:00
2,elonmusk,@dogeofficialceo @DirtyTesLa @rocobasilisk @SwipeWright 💯,1616,107,2022-10-25 09:16:17+00:00
3,elonmusk,@garyblack00 @SawyerMerritt One man’s hedge is another man’s shrub,2956,152,2022-10-25 08:30:54+00:00
4,elonmusk,@muskQu0tes Yup,5355,226,2022-10-25 08:19:58+00:00
5,elonmusk,@emollick True,2615,141,2022-10-25 08:11:11+00:00
6,elonmusk,@elon_wisdom Too much respect for authority inhibits innovation,20959,2279,2022-10-25 08:01:29+00:00
7,elonmusk,@DirtyTesLa @rocobasilisk @SwipeWright 💪,1029,34,2022-10-25 07:55:19+00:00
8,elonmusk,@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube 😉,3560,188,2022-10-25 04:35:20+00:00
9,elonmusk,What lesson took you the longest to unlearn?,98046,7844,2022-10-25 04:33:08+00:00
10,elonmusk,διαλεκτική,70619,5144,2022-10-25 01:25:34+00:00
11,elonmusk,"@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",17722,2165,2022-10-25 01:15:05+00:00
12,elonmusk,@MuskUniversity Absolutely necessary,1816,124,2022-10-24 22:45:37+00:00
13,elonmusk,@DavidSacks @MarcBodnick !,1883,89,2022-10-24 21:39:38+00:00
14,elonmusk,@realchrisrufo @MaxBoot 🤣🤣,11798,493,2022-10-24 21:38:44+00:00
15,elonmusk,@MuskUniversity Important,8075,434,2022-10-24 20:49:20+00:00
16,elonmusk,@MuskUniversity Yup,1288,65,2022-10-24 20:46:26+00:00
17,elonmusk,@DavidSacks Exactly!,2179,105,2022-10-24 20:41:15+00:00
18,elonmusk,@SawyerMerritt 🤣,11487,436,2022-10-24 20:40:14+00:00
19,elonmusk,"@VinnyLingham Yeah, doesn’t make sense",24243,1210,2022-10-24 18:45:00+00:00
20,elonmusk,@MuskUniversity Good thread,2427,127,2022-10-24 13:49:02+00:00
21,elonmusk,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s,1698,79,2022-10-24 13:42:48+00:00
22,elonmusk,"@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",3568,226,2022-10-24 13:39:48+00:00
23,elonmusk,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.

Frankly, I like it this way, as I get to see my friends, who I love, more often.",5465,264,2022-10-24 13:35:53+00:00
24,elonmusk,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.

Polytopia addresses these limitations.",3346,240,2022-10-24 13:28:44+00:00
25,elonmusk,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche",8308,615,2022-10-24 13:19:56+00:00
26,elonmusk,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",14441,1761,2022-10-24 13:13:07+00:00
27,elonmusk,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes,1472,73,2022-10-24 12:58:14+00:00
28,elonmusk,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣,1361,60,2022-10-24 12:51:35+00:00
29,elonmusk,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that Blue whales are bigger than the biggest dinosaur.",46237,2075,2022-10-24 12:48:28+00:00
30,elonmusk,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome,4963,210,2022-10-24 05:39:47+00:00
31,elonmusk,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not turn off Starlink even if DoD refused to provide funding",11528,1080,2022-10-24 02:37:00+00:00
32,elonmusk,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!,10187,511,2022-10-23 22:36:41+00:00
33,elonmusk,@SKMorefield Interesting,10629,597,2022-10-23 16:58:01+00:00
34,elonmusk,@pcgamer Great game,35541,1271,2022-10-23 13:31:21+00:00
35,elonmusk,"Maybe it was a social media algorithm, not even people",47836,3622,2022-10-23 13:29:48+00:00
36,elonmusk,Think about who might have decided “The Current Thing” before accepting it,106225,11723,2022-10-23 13:26:21+00:00
37,elonmusk,"Who decides “The Current Thing?”
Real question. I don’t know.",111171,8790,2022-10-23 13:21:51+00:00
38,elonmusk,@andst7 Exactly. WaPo are such hypocrites.,17047,1383,2022-10-23 13:10:44+00:00
39,elonmusk,Neuralink show &amp; tell now on Nov 30,58783,4654,2022-10-23 12:19:22+00:00
40,elonmusk,@muskQu0tes @SpaceX Had to be done,11426,531,2022-10-23 12:11:12+00:00
41,elonmusk,@Gfilche @MartinViecha We’ve come a long way,10863,561,2022-10-23 01:41:03+00:00
42,elonmusk,"i know
|nothing|
is forever",207275,22219,2022-10-23 00:29:28+00:00
43,elonmusk,@BillyM2k @sakitechonline @DavidSacks 🤣💪,3990,156,2022-10-22 21:25:50+00:00
44,elonmusk,@michaelmalice @washingtonpost Good point 🤔,36762,1890,2022-10-22 20:24:41+00:00
45,elonmusk,@MuskUniversity This needs to change. Manufacturing is awesome!,19279,1329,2022-10-22 19:54:11+00:00
46,elonmusk,@muskQu0tes It will happen,23051,1112,2022-10-22 17:24:03+00:00
47,elonmusk,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!,11577,718,2022-10-22 16:00:09+00:00
48,elonmusk,"@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?
https://t.co/XZxDJAPE9a",24420,2159,2022-10-22 15:06:32+00:00
49,elonmusk,@xuanyiman @stillgray @DavidSacks 😋,1655,67,2022-10-22 07:01:37+00:00
50,elonmusk,"@stillgray @DavidSacks Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",1969,106,2022-10-22 07:00:32+00:00
51,elonmusk,@PhreshNic @MedvedevRussiaE @trussliz 🤣,1435,53,2022-10-22 06:43:06+00:00
52,elonmusk,@DavidSacks Good thread,3728,264,2022-10-22 00:39:36+00:00
